,Station,River,Location,Nominal_Easting,Nominal_Northing,Easting,Northing,Ceasting,Cnorthing,Grid,DTM_Area,AREA/DPLBAR,Assessment Level,ALTBAR,ASPBAR,ASPVAR,BFIHOST,DPLBAR,DPSBAR,DPSBAR (m/m),Assessment Level,FARL,FPEXT,LDP,PROPWET,RMED1H,RMED1D,RMED2D,SAAR,SAAR4170,SPRHOST,Assessment Level,URBCONC1990,URBEXT1990,URBLOC1990,URBCONC2000,URBEXT2000,Assessment Level,URBLOC2000,suitQMED,suitPool,QMED,N_AM,hyd_area,Map,Ireland,SCORE,prop.summer,Tp
473,43003,Avon,East Mills Total,4158,1143,415850,114350,405962,140938,GB,1459.45,26.15033148,1,130,144,0.13,0.894,55.81,64.2,0.0642,2,0.985,0.0694,95.13,0.34,10.7,33.4,43.8,807,838,10.21,1,0.557,0.0149,0.883,0.75,0.0163,0,0.845,YES,YES,46.58,48,43,9,FALSE,4,0.0625,16.76008902
474,43004,Bourne,Laverstock,4156,1303,415650,130400,421744,146232,GB,165.21,6.162252891,2,130,177,0.14,0.952,26.81,50.7,0.0507,2,1,0.0561,47.3,0.34,10.7,32.4,40.9,768,787,5.94,0,0.527,0.021,0.737,0.692,0.0237,0,0.713,YES,YES,2.117,45,43,9,FALSE,4,0.088888889,11.30426839
475,43005,Avon,Amesbury,4151,1413,415100,141400,413152,155346,GB,326.47,12.26408715,0,135,177,0.16,0.903,26.62,50.5,0.0505,2,1,0.071,48.28,0.34,10.4,31,40.5,744,768,10.68,1,0.535,0.0154,0.939,0.758,0.0132,0,0.788,YES,YES,9.927,30,43,9,FALSE,3,0.1,11.47751086
476,43006,Nadder,Wilton,4097,1307,409750,130800,395751,129698,GB,215.63,9.841624829,0,139,126,0.15,0.763,21.91,78.5,0.0785,2,0.976,0.0471,34.58,0.35,10.9,35.6,46.2,875,943,19.62,1,0.346,0.0055,0.805,0.608,0.0087,0,0.928,YES,YES,14.808,52,43,9,FALSE,3,0.076923077,9.035583889
477,43007,Stour,Throop,4112,960,411250,96050,385056,113220,GB,1062.08,16.97426882,1,92,130,0.12,0.664,62.57,54.1,0.0541,2,0.988,0.1122,105.9,0.35,10.8,35.5,45.9,861,901,25.63,2,0.618,0.0169,0.608,0.814,0.0196,0,0.594,YES,YES,100.5085,46,43,9,FALSE,5,0.108695652,18.12614888
478,43008,Wylye,South Newton,4086,1342,408650,134250,396264,142665,GB,448.17,16.85483264,1,144,119,0.15,0.937,26.59,70.1,0.0701,2,0.976,0.0518,52.41,0.35,10.9,33.7,45.8,830,845,6.92,0,0.575,0.0103,0.916,0.75,0.0102,0,1.026,YES,YES,12.8,47,43,9,FALSE,3,0.106382979,10.30994167
479,43009,Stour,Hammoon,3820,1146,382000,114650,376202,119595,GB,518.75,19.5607089,1,100,106,0.07,0.442,26.52,49.9,0.0499,1,0.992,0.1226,45.93,0.36,10.8,34.6,44.3,849,894,40.02,3,0.512,0.0095,0.966,0.718,0.0104,0,0.998,YES,YES,110,51,43,9,FALSE,5,0.098039216,11.0081848
480,43010,Allen,Loverley Farm,4006,1085,400700,108550,398756,115827,GB,94.84,8.044105174,0,112,168,0.3,0.944,11.79,64.8,0.0648,2,0.985,0.0521,20.41,0.35,10.6,34.9,46.7,872,942,6.29,0,-9999,0.0033,-9999,-9999,0.0046,0,-9999,YES,NO,4.709,26,43,9,FALSE,2,0.115384615,6.621841763
481,43012,Wylye,Norton Bavant,3908,1427,390850,142750,385023,140062,GB,114.01,8.783513097,0,167,99,0.2,0.885,12.98,74,0.074,2,0.975,0.0592,25.15,0.35,11,34.9,47.8,925,951,11.19,1,0.676,0.0188,0.513,0.822,0.0256,0,0.498,YES,YES,4.637,50,43,9,FALSE,3,0.12,6.421748852
482,43014,East Avon,Upavon,4133,1559,413350,156000,416333,160687,GB,85.83,8.498019802,0,145,207,0.22,0.838,10.1,54.7,0.0547,2,1,0.07,18.26,0.32,10.2,31.1,41.7,759,788,17.59,1,0.477,0.0157,0.91,0.737,0.0117,0,0.825,YES,YES,3.608,49,43,9,FALSE,3,0.163265306,6.696854815
