Month,Year,NAO,AMO,Flash Flood?
10,1959,0.89,0.1,1
11,1959,0.41,0.1,1
6,1960,-0.21,0.09,1
6,1960,-0.21,0.09,1
8,1960,-1.4,0.08,1
8,1960,-1.4,0.08,1
8,1960,-1.4,0.08,1
8,1960,-1.4,0.08,1
8,1960,-1.4,0.08,1
8,1960,-1.4,0.08,1
8,1960,-1.4,0.08,1
10,1960,-1.73,0.07,1
10,1960,-1.73,0.07,1
10,1960,-1.73,0.07,1
10,1960,-1.73,0.07,1
10,1960,-1.73,0.07,1
12,1960,0.06,0.06,1
8,1961,0.9,0.05,1
8,1961,0.9,0.05,1
7,1962,-2.47,0.06,1
8,1962,0.14,0.06,1
9,1962,-0.37,0.06,1
9,1962,-0.37,0.06,1
2,1963,-0.96,0.06,1
2,1963,-0.96,0.06,1
6,1963,-0.43,0.05,1
7,1963,-0.77,0.05,1
7,1963,-0.77,0.05,1
7,1963,-0.77,0.05,1
8,1963,-0.64,0.05,1
11,1963,-1.27,0.04,1
11,1963,-1.27,0.04,1
3,1964,-1.2,0.04,1
5,1964,0.52,0.04,1
6,1964,1.29,0.04,1
7,1964,1.9,0.04,1
7,1964,1.9,0.04,1
8,1964,-1.77,0.04,1
8,1964,-1.77,0.04,1
8,1964,-1.77,0.04,1
12,1964,-0.15,0.04,1
6,1965,0.29,0.03,1
7,1965,0.32,0.03,1
7,1965,0.32,0.03,1
7,1965,0.32,0.03,1
7,1965,0.32,0.03,1
7,1965,0.32,0.03,1
8,1965,0.45,0.02,1
8,1965,0.45,0.02,1
11,1965,-1.66,0.02,1
12,1965,1.37,0.01,1
12,1965,1.37,0.01,1
1,1966,-1.74,0.01,1
1,1966,-1.74,0.01,1
4,1966,-0.75,0.01,1
6,1966,1.05,0,1
8,1966,-1.76,0,1
8,1966,-1.76,0,1
10,1966,-0.68,0,1
10,1966,-0.68,0,1
12,1966,0.72,-0.01,1
2,1967,0.19,-0.01,1
5,1967,-0.99,-0.03,1
5,1967,-0.99,-0.03,1
6,1967,1.4,-0.03,1
6,1967,1.4,-0.03,1
6,1967,1.4,-0.03,1
7,1967,0.41,-0.04,1
7,1967,0.41,-0.04,1
7,1967,0.41,-0.04,1
7,1967,0.41,-0.04,1
8,1967,1.44,-0.04,1
8,1967,1.44,-0.04,1
8,1967,1.44,-0.04,1
9,1967,0.93,-0.04,1
1,1968,0.13,-0.06,1
4,1968,-1.08,-0.08,1
4,1968,-1.08,-0.08,1
4,1968,-1.08,-0.08,1
5,1968,-1.76,-0.08,1
6,1968,0.33,-0.08,1
6,1968,0.33,-0.08,1
7,1968,-0.8,-0.08,1
7,1968,-0.8,-0.08,1
7,1968,-0.8,-0.08,1
7,1968,-0.8,-0.08,1
7,1968,-0.8,-0.08,1
7,1968,-0.8,-0.08,1
7,1968,-0.8,-0.08,1
7,1968,-0.8,-0.08,1
9,1968,-1.92,-0.08,1
9,1968,-1.92,-0.08,1
10,1968,-2.3,-0.08,1
12,1968,-1.4,-0.08,1
7,1969,0.57,-0.1,1
7,1969,0.57,-0.1,1
7,1969,0.57,-0.1,1
6,1970,1.55,-0.12,1
6,1971,-1.57,-0.13,1
6,1971,-1.57,-0.13,1
6,1971,-1.57,-0.13,1
6,1971,-1.57,-0.13,1
8,1971,1.55,-0.13,1
10,1971,0.58,-0.13,1
10,1971,0.58,-0.13,1
10,1971,0.58,-0.13,1
6,1972,0.88,-0.15,1
7,1972,0.18,-0.15,1
7,1972,0.18,-0.15,1
6,1973,0.39,-0.16,1
10,1973,-1.24,-0.16,1
6,1974,-0.14,-0.17,1
9,1974,0.82,0.17,1
9,1974,0.82,0.17,1
7,1975,1.55,-0.17,1
8,1975,-0.26,-0.17,1
6,1976,0.8,-0.16,1
6,1976,0.8,-0.16,1
6,1976,0.8,-0.16,1
9,1976,-1.29,-0.16,1
9,1976,-1.29,-0.16,1
9,1976,-1.29,-0.16,1
9,1976,-1.29,-0.16,1
5,1977,-0.86,-0.15,1
6,1977,-0.57,-0.15,1
7,1977,-0.45,-0.15,1
8,1977,-0.28,-0.15,1
8,1977,-0.28,-0.15,1
8,1977,-0.28,-0.15,1
8,1977,-0.28,-0.15,1
8,1977,-0.28,-0.15,1
10,1977,0.52,-0.15,1
10,1977,0.52,-0.15,1
5,1979,-1.03,-0.14,1
8,1979,0.96,-0.14,1
1,1980,-0.75,-0.13,1
6,1980,-0.37,-0.14,1
9,1980,0.66,-0.14,1
9,1980,0.66,-0.14,1
9,1980,0.66,-0.14,1
9,1980,0.66,-0.14,1
6,1981,-0.45,-0.16,1
6,1981,-0.45,-0.16,1
8,1981,0.39,-0.16,1
9,1981,-1.45,-0.16,1
9,1981,-1.45,-0.16,1
9,1981,-1.45,-0.16,1
9,1981,-1.45,-0.16,1
6,1982,-1.63,-0.16,1
7,1982,1.15,-0.16,1
7,1982,1.15,-0.16,1
7,1982,1.15,-0.16,1
7,1982,1.15,-0.16,1
8,1982,0.26,-0.16,1
9,1982,1.76,-0.16,1
9,1982,1.76,-0.16,1
9,1982,1.76,-0.16,1
6,1983,0.99,-0.16,1
8,1983,1.61,-0.15,1
8,1983,1.61,-0.15,1
8,1983,1.61,-0.15,1
8,1983,1.61,-0.15,1
5,1984,0.54,-0.15,1
8,1984,1.15,-0.15,1
4,1985,0.32,-0.15,1
4,1985,0.32,-0.15,1
6,1985,-0.8,-0.16,1
8,1985,-0.48,-0.16,1
10,1985,0.9,-0.16,1
10,1985,0.9,-0.16,1
10,1985,0.9,-0.16,1
6,1986,1.22,-0.17,1
6,1986,1.22,-0.17,1
6,1986,1.22,-0.17,1
6,1986,1.22,-0.17,1
