id,name,catchment-area,easting,northing,latitude,longitude,river,location,station-level,measuring-authority-id,measuring-authority-station-id,hydrometric-area,opened,closed,station-type,bankfull-flow,structurefull-flow,sensitivity,nrfa-mean-flow,nrfa-peak-flow,feh-pooling,feh-qmed,feh-neither,nhmp,benchmark,live-data,eflag,historic-droughts,marius,outlook-analogues,outlook-esp,factors-affecting-runoff,gdf-start-date,gdf-end-date,gdf-mean-flow,gdf-min-flow,gdf-first-date-of-min,gdf-last-date-of-min,gdf-max-flow,gdf-first-date-of-max,gdf-last-date-of-max,gdf-q95-flow,gdf-q70-flow,gdf-q50-flow,gdf-q10-flow,gdf-q05-flow,gdf-base-flow-index,gdf-day-count,gdf-flow-count,gdf-percent-complete,peak-flow-start-date,peak-flow-end-date,qmed,minimum-altitude,10-percentile-altitude,50-percentile-altitude,90-percentile-altitude,maximum-altitude,saar-1941-1970,saar-1961-1990,lcm2000-woodland,lcm2000-arable-horticultural,lcm2000-grassland,lcm2000-mountain-heath-bog,lcm2000-urban,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban,high-perm-bedrock,moderate-perm-bedrock,low-perm-bedrock,mixed-perm-bedrock,high-perm-superficial,low-perm-superficial,mixed-perm-superficial,propwet,bfihost,farl,dpsbar,sprhost,rmed-1d,rmed-2d,rmed-1h,ldp,dplbar,altbar,aspbar,aspvar,ihdtm-height,ihdtm-catchment-area,mean-flood-plain-depth,mean-flood-plain-location,mean-flood-plain-extent,urbext-1990,urbconc-1990,urbloc-1990,urbext-2000,urbconc-2000,urbloc-2000,data-summary
1001,Wick at Tarroul,161.9,326202,954915,58.4762,-3.26706,Wick,Tarroul,13,SEPA-NW,234324,1,01/11/1995,,VA,31.2,,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,09/11/1995,30/09/2022,2.957,0.028,27/08/2003,27/08/2003,48.11,26/10/2006,26/10/2006,0.138,0.649,1.601,7.279,10.04,0.39,9823,9823,100,,,,12.9,30.6,78.8,135.2,241.4,922,934,0.0981,0.0575,0.4148,0.3931,0.004,0.1088,0.0213,0.4477,0.3878,0.0014,,1,,,,0.4736,0.4851,0.56,0.3,0.86,29.9,49.62,31.6,44.2,8,23.45,12.03,80,52,0.22,13,158.18,0.763,0.928,0.0922,0.0004,,,0.0012,,,gdf;gmf;cmr;cdr;cdr-d
2001,Helmsdale at Kilphedir,551.4,299839,918163,58.141,-3.70295,Helmsdale,Kilphedir,17,SEPA-NW,234253,2,01/01/1974,,VA,103.6,,9.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,R,01/01/1975,30/09/2022,13.152,0.814,06/09/1976,06/09/1976,187.6,26/10/2006,26/10/2006,3.018,4.675,7.907,29.34,41.96,0.47,17440,17440,100,01/01/1975,,169.667,20.9,127.5,200.9,324.7,691.6,1102,1117,0.0537,0.0003,0.0712,0.8428,0.0001,0.0577,0.0001,0.3137,0.5959,0.0002,,0.0119,0.9881,,,0.6163,0.3067,0.65,0.324,0.858,97,52.88,33,43.7,8.3,56.78,30.33,213,201,0.04,20.9,553.24,0.671,1.069,0.0555,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
2002,Brora at Bruachrobie,434.4,289156,903916,58.01056,-3.87757,Brora,Bruachrobie,9,SEPA-NW,234174,2,01/05/1993,,VA,39.3,,11,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,01/05/1993,30/09/2022,11.855,0.36,18/08/1995,18/08/1995,229.7,26/10/2006,26/10/2006,0.975,3.071,6.106,29.36,41.31,0.31,10745,10745,100,01/05/1993,,157.136,9.4,140.4,240.5,417,710.8,1190,1217,0.0391,0.0001,0.0746,0.8675,0.0009,0.0564,0.0019,0.2471,0.6809,0.0001,,0.0988,0.8889,0.0124,,0.5849,0.3381,0.59,0.351,0.845,97.3,54.16,36.4,48.9,8.8,52.37,28.71,259,178,0.15,9.6,423.48,0.705,1.024,0.0553,0,,,0.0002,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
3001,Shin at Lairg,494.6,258100,906200,58.02222,-4.40405,Shin,Lairg,81.7,NSHE,,3,01/01/1950,1957,VA,,,5.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,01/10/1953,30/11/1957,15.2,0.481,01/09/1955,01/09/1955,116.9,27/12/1954,27/12/1954,2.18,5.975,10.7,33.7,39.93,0.55,1522,1522,100,,,,86.5,106.6,219.9,394.8,869.5,1594,1600,0.1656,,0.1261,0.6288,,0.1917,0.0002,0.2511,0.4739,0.0003,,,1,,,0.3842,0.4419,0.78,0.367,0.671,99,53.58,44.3,65.1,9.2,45.86,22.34,241,171,0.15,86.5,485.96,0.742,0.893,0.0621,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
3002,Carron at Sgodachail,241.1,249136,892152,57.89321,-4.54668,Carron,Sgodachail,70.7,SEPA-NW,234305,3,01/01/1973,,VA,161.6,,14,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,H,01/01/1974,30/09/2022,9.069,0.276,26/07/2021,26/07/2021,203.3,29/01/1982,29/01/1982,0.96,2.669,4.506,21.27,32.75,0.29,17805,17805,100,01/01/1974,,177.63,75.4,215.4,428.7,681.3,952.4,2024,1784,0.0473,,0.0924,0.8293,0.0001,0.0829,0.0005,0.1422,0.7678,0.0002,,,1,,,0.2963,0.4439,0.81,0.436,0.974,218.2,49.93,43.7,65.4,9.2,31.93,15.94,439,44,0.06,75.4,237.14,0.633,0.863,0.0377,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
3003,Oykel at Easter Turnaig,330.7,240305,900145,57.96185,-4.70086,Oykel,Easter Turnaig,15.6,SEPA-NW,234209,3,01/01/1977,,VA,582.8,,14,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,01/11/1977,30/09/2022,16.216,0.321,09/06/2008,09/06/2008,404.9,29/01/1982,29/01/1982,1.034,3.831,7.922,40.64,58.11,0.22,16405,16405,100,01/01/1978,,350.004,20.3,154.9,273.8,479.4,1005.8,1962,1896,0.0852,,0.2628,0.6306,,0.1587,0.0001,0.2712,0.5548,0,,,0.9999,0.0001,,0.2869,0.5465,0.81,0.359,0.915,148.2,53.57,45.4,65.2,9.4,31.2,16.79,297,61,0.07,20.5,331.67,0.75,0.92,0.0488,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
3004,Cassley at Rosehall,187.5,247176,902133,57.9821,-4.58615,Cassley,Rosehall,3.3,SEPA-NW,234300,3,01/01/1979,,VA,51,,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,H,01/11/1979,30/09/2022,7.147,0.168,13/06/1992,13/06/1992,193.5,29/01/1982,29/01/1982,0.737,1.766,3.026,17.43,26.77,0.23,15675,15675,100,,,,5.2,124.3,289,484.1,1059.7,2078,2250,0.0341,,0.1654,0.7831,,0.0511,0.0002,0.2695,0.6655,,,,1,,,0.3095,0.4736,0.82,0.386,0.902,140.1,52.83,51.1,78.6,9.8,39.41,19.62,300,139,0.11,8.1,187.79,0.954,0.962,0.0557,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
3005,Shin at Inveran,575,257412,897418,57.94319,-4.41038,Shin,Inveran,4.3,SEPA-NW,234240,3,01/08/1981,01/07/2011,VA,80.7,,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,H,01/08/1981,30/06/2011,4.971,1.097,19/10/1994,19/10/1994,132,06/02/1989,06/02/1989,1.686,3.054,3.43,6.407,12.1,0.59,10926,10926,100,,,,5.2,105.6,216.4,377.6,869.5,1533,1526,0.1672,,0.1455,0.6177,,0.1958,0.0004,0.2542,0.4773,0.0005,,,1,,,0.3798,0.4562,0.76,0.377,0.69,97.6,52.06,42.2,62.1,9,56.23,29.31,234,175,0.13,5.2,580.2,0.75,0.941,0.0605,0.0002,,,0.0002,,,gdf;gmf;cmr;cdr;cdr-d
3006,Loch Ailsh at Loch Ailsh,44.34,231577,910138,58.04828,-4.85531,Loch Ailsh,Loch Ailsh,154.3,SEPA-NW,354613,3,08/04/2003,30/09/2021,VA,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,08/04/2003,30/09/2021,2.924,0.079,05/06/2012,05/06/2012,41.5,10/12/2010,10/12/2010,0.28,0.889,1.713,6.857,9.743,0.28,6751,6386,94.593,,,,153.5,193.7,318.9,605.3,1005.8,2182,2558,0.0043,,0.1189,0.8407,,0.1163,0.0004,0.2564,0.5922,0.0001,,,1,,,0.1869,0.4923,0.81,0.397,0.796,216.6,49.82,59.3,88.5,10,13.53,6.62,362,192,0.22,153.5,44.34,0.731,0.781,0.0505,0.0003,,,0,,,gdf;gmf;cmr;cdr;cdr-d
4001,Conon at Moy Bridge,961.8,248129,854675,57.55658,-4.53997,Conon,Moy Bridge,10,SEPA-NW,234284,4,01/01/1947,,VA,185,,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,H,01/10/1947,30/09/2022,50.234,0.566,24/09/1956,24/09/1956,920,17/12/1966,17/12/1966,11.33,25.77,41.37,98.77,117.3,0.57,27394,25353,92.549,,,,11.5,150.4,354.4,635.1,1103.4,1765,1769,0.0987,0.0058,0.113,0.7419,0.0005,0.1187,0.0027,0.1913,0.6475,0.0004,,0.0161,0.9839,,0.0044,0.1504,0.5097,0.75,0.363,0.742,198.8,52.74,44.4,66.3,9.2,61.26,33.52,377,124,0.04,12.9,962.45,0.885,0.868,0.047,0.0002,,,0.0001,,,gdf;gmf;cmr;cdr;cdr-d
